N°  	Begin date  	End date  	Conv. cons. (Normal Volume)	Unconv. cons. (m3)	Conv. cons. (AL) (Normal Volume)	Unconv. cons.(AL) (m3)	Tmin (°C)	Tmax (°C)	Tav (°C)	Pmin (Bar)	Pmax (Bar)	Pav (Bar)	QUmin (m3/h)	QUmax (m3/h)	QUav (m3/h)	QCmin (Normal Volume/h)	QCmax (Normal Volume/h)	Qcav (Normal Volume/h)
1	31/08/2025 07:00:00	01/09/2025 07:00:00	305.560	59.000	305.560	0.000	24.94	34.47	29.29	5.134	5.716	5.391	0.0	10.0	2.5	0.0	49.0	12.7
2	30/08/2025 07:00:00	31/08/2025 07:00:00	295.268	57.000	295.268	0.000	24.25	34.08	28.35	5.146	5.689	5.370	0.0	0.0	0.0	0.0	0.0	0.0
3	29/08/2025 07:00:00	30/08/2025 07:00:00	292.619	57.000	292.619	0.000	22.57	32.68	27.37	5.054	5.649	5.289	0.0	10.3	2.4	0.0	53.0	12.2
4	28/08/2025 07:00:00	29/08/2025 07:00:00	309.301	60.000	309.301	0.000	22.74	32.55	26.79	5.112	5.539	5.304	0.0	10.1	2.5	0.0	50.3	12.9
5	27/08/2025 07:00:00	28/08/2025 07:00:00	300.772	59.000	300.772	0.000	21.56	30.36	25.93	5.004	5.467	5.228	0.0	10.2	2.5	0.0	50.4	12.5
6	26/08/2025 07:00:00	27/08/2025 07:00:00	312.233	61.000	312.233	0.000	21.79	29.79	24.97	5.068	5.387	5.236	0.0	10.0	2.5	0.0	49.9	13.0
7	25/08/2025 07:00:00	26/08/2025 07:00:00	288.270	55.000	288.270	0.000	20.30	28.55	24.21	5.146	5.585	5.349	0.0	0.0	0.0	0.0	0.0	0.0
8	24/08/2025 07:00:00	25/08/2025 07:00:00	307.922	58.000	307.922	0.000	20.63	26.64	24.16	5.186	5.612	5.422	0.0	0.0	0.0	0.0	0.0	0.0
9	23/08/2025 07:00:00	24/08/2025 07:00:00	271.740	52.000	271.740	0.000	24.40	30.61	26.98	5.165	5.647	5.401	0.0	0.0	0.0	0.0	0.0	0.0
10	22/08/2025 07:00:00	23/08/2025 07:00:00	292.590	56.000	292.590	0.000	25.62	31.31	28.60	5.111	5.641	5.403	0.0	0.0	0.0	0.0	0.0	0.0
11	21/08/2025 07:00:00	22/08/2025 07:00:00	285.756	56.000	285.756	0.000	23.95	32.13	28.73	5.119	5.482	5.283	0.0	10.4	2.3	0.0	55.2	11.9
12	20/08/2025 07:00:00	21/08/2025 07:00:00	281.427	55.000	281.427	0.000	24.10	29.26	26.61	5.127	5.533	5.273	0.0	10.6	2.3	0.0	52.7	11.7
13	19/08/2025 07:00:00	20/08/2025 07:00:00	306.495	60.000	306.495	0.000	23.58	30.47	26.99	4.942	5.500	5.262	0.0	0.0	0.0	0.0	0.0	0.0
14	18/08/2025 07:00:00	19/08/2025 07:00:00	289.859	58.000	289.859	0.000	23.89	29.46	27.43	4.641	5.526	5.157	0.0	0.0	0.0	0.0	0.0	0.0
15	17/08/2025 07:00:00	18/08/2025 07:00:00	270.444	54.000	270.444	0.000	25.45	33.12	29.41	5.082	5.357	5.201	0.0	0.0	0.0	0.0	0.0	0.0
16	16/08/2025 07:00:00	17/08/2025 07:00:00	290.651	58.000	290.651	0.000	25.55	33.13	29.18	5.091	5.359	5.201	0.0	0.0	0.0	0.0	0.0	0.0
17	15/08/2025 07:00:00	16/08/2025 07:00:00	254.886	50.000	254.886	0.000	25.88	33.00	29.54	1.178	5.624	5.230	0.0	0.0	0.0	0.0	0.0	0.0
